epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
111,55.6625,0.90913,0.66364,1.21995,0.04805,0.8722,0.81247,0.81512,0.64601,0.7182,0.57096,0.97119,0.0369,0.000210706,0.000210706,0.000210706
112,56.0683,0.87803,0.62055,1.21182,0.05032,0.86706,0.80893,0.81226,0.64631,0.71291,0.56484,0.97194,0.03684,0.000205631,0.000205631,0.000205631
113,56.4782,0.90366,0.64912,1.20868,0.04543,0.86387,0.80557,0.81016,0.6465,0.70917,0.56156,0.97127,0.03686,0.000200555,0.000200555,0.000200555
114,56.8658,0.88088,0.63493,1.25203,0.04542,0.94658,0.79229,0.81215,0.65135,0.70648,0.55849,0.97117,0.03718,0.00019548,0.00019548,0.00019548
115,57.2812,0.86706,0.63227,1.23851,0.0423,0.9386,0.80022,0.81302,0.65095,0.70666,0.55712,0.97032,0.03783,0.000190404,0.000190404,0.000190404
116,57.9699,0.91572,0.66997,1.21755,0.04994,0.93322,0.79975,0.8144,0.65112,0.71735,0.56043,0.97336,0.03804,0.000185329,0.000185329,0.000185329
117,58.3854,0.95107,0.66958,1.24935,0.06532,0.92949,0.80241,0.81475,0.653,0.72191,0.56323,0.9754,0.03821,0.000180254,0.000180254,0.000180254
118,58.7984,0.86858,0.62565,1.23622,0.04317,0.92827,0.8033,0.81612,0.65343,0.72633,0.56541,0.9771,0.03812,0.000175178,0.000175178,0.000175178
119,59.2131,0.92063,0.66449,1.22547,0.05117,0.9323,0.79977,0.8154,0.65168,0.73294,0.56718,0.977,0.03813,0.000170103,0.000170103,0.000170103
120,59.6287,0.90442,0.64461,1.21646,0.04864,0.92876,0.80052,0.81626,0.65451,0.74277,0.57086,0.97444,0.0381,0.000165027,0.000165027,0.000165027
121,60.0521,0.90525,0.65701,1.23037,0.0488,0.92951,0.7998,0.81805,0.65504,0.74232,0.56971,0.97139,0.03752,0.000159952,0.000159952,0.000159952
122,60.4619,0.86398,0.62018,1.24598,0.04628,0.93445,0.7984,0.81982,0.65357,0.73998,0.567,0.96891,0.03624,0.000154877,0.000154877,0.000154877
123,61.255,0.89552,0.64106,1.24196,0.05495,0.94439,0.79719,0.81704,0.65213,0.73473,0.5636,0.96514,0.03517,0.000149801,0.000149801,0.000149801
124,61.6561,0.87073,0.62313,1.24424,0.04773,0.9515,0.79594,0.82064,0.65491,0.7233,0.55518,0.958,0.03448,0.000144726,0.000144726,0.000144726
125,62.0401,0.8554,0.62674,1.23111,0.04634,0.95248,0.79734,0.82213,0.65649,0.7197,0.55296,0.9559,0.03369,0.00013965,0.00013965,0.00013965
126,62.4656,0.93672,0.65917,1.22135,0.05583,0.95475,0.79991,0.82115,0.65573,0.71693,0.55039,0.95423,0.0332,0.000134575,0.000134575,0.000134575
127,62.863,0.91922,0.64368,1.23996,0.05362,0.96083,0.79983,0.81877,0.65477,0.71614,0.54915,0.95413,0.03261,0.0001295,0.0001295,0.0001295
128,63.2746,0.90596,0.64079,1.20467,0.04364,0.96001,0.80156,0.81917,0.65496,0.72106,0.5503,0.95709,0.03273,0.000124424,0.000124424,0.000124424
129,63.6627,0.88505,0.63708,1.26994,0.0517,0.95898,0.80292,0.81862,0.65233,0.72357,0.55027,0.958,0.03327,0.000119349,0.000119349,0.000119349
130,64.0656,0.92234,0.64018,1.20238,0.0531,0.96143,0.80338,0.82038,0.65467,0.72412,0.5491,0.95858,0.03352,0.000114273,0.000114273,0.000114273
131,64.443,0.86294,0.62055,1.19962,0.04373,0.95988,0.80217,0.81824,0.65432,0.72281,0.54856,0.95901,0.03368,0.000109198,0.000109198,0.000109198
132,65.5545,0.8949,0.64969,1.16576,0.04619,0.95749,0.80013,0.81946,0.65813,0.72218,0.54805,0.95975,0.03412,0.000104123,0.000104123,0.000104123
133,65.9715,0.88075,0.61763,1.22793,0.04872,0.95565,0.79758,0.8183,0.65945,0.7231,0.54868,0.96022,0.03423,9.90472e-05,9.90472e-05,9.90472e-05
134,66.4035,0.90738,0.64341,1.20307,0.04977,0.95465,0.79142,0.81395,0.659,0.72225,0.54866,0.9597,0.03445,9.39718e-05,9.39718e-05,9.39718e-05
135,67.3256,0.87036,0.62201,1.2604,0.04552,0.95842,0.78831,0.8156,0.65944,0.72261,0.5492,0.9597,0.03469,8.88964e-05,8.88964e-05,8.88964e-05
136,67.7299,0.85371,0.60797,1.21048,0.04329,0.9599,0.78718,0.81463,0.66007,0.72018,0.54848,0.95949,0.03529,8.3821e-05,8.3821e-05,8.3821e-05
137,68.1396,0.87037,0.63056,1.20288,0.05357,0.9599,0.79222,0.81888,0.66308,0.7205,0.54848,0.95934,0.0353,7.87456e-05,7.87456e-05,7.87456e-05
138,68.5639,0.90538,0.63689,1.19966,0.05132,0.95831,0.79089,0.8146,0.66373,0.72089,0.54813,0.9592,0.03527,7.36702e-05,7.36702e-05,7.36702e-05
139,69.6165,0.90091,0.64282,1.17552,0.04786,0.96136,0.78914,0.81714,0.66521,0.71955,0.54685,0.95888,0.03484,6.85948e-05,6.85948e-05,6.85948e-05
140,70.0522,0.88091,0.63088,1.23096,0.04208,0.96367,0.78807,0.81845,0.66363,0.71661,0.54443,0.95924,0.03452,6.35194e-05,6.35194e-05,6.35194e-05
141,71.0825,0.80742,0.59796,1.25003,0.04878,0.96236,0.77983,0.81151,0.66166,0.71542,0.5437,0.95903,0.0344,5.8444e-05,5.8444e-05,5.8444e-05
142,71.4934,0.86791,0.62179,1.2473,0.039,0.9569,0.77848,0.81099,0.65955,0.71339,0.54385,0.95898,0.03463,5.33686e-05,5.33686e-05,5.33686e-05
143,71.8792,0.85115,0.61948,1.18962,0.03921,0.95009,0.7817,0.80937,0.6586,0.71116,0.54285,0.95769,0.03474,4.82932e-05,4.82932e-05,4.82932e-05
144,72.2715,0.83154,0.60239,1.19346,0.04278,0.94266,0.78308,0.80909,0.65559,0.70751,0.54164,0.9544,0.03447,4.32178e-05,4.32178e-05,4.32178e-05
145,72.6555,0.84457,0.6051,1.2297,0.05408,0.94603,0.78298,0.80802,0.65366,0.70714,0.54224,0.95353,0.03448,3.81424e-05,3.81424e-05,3.81424e-05
146,73.0544,0.80048,0.58981,1.20098,0.04087,0.94502,0.78257,0.80792,0.65306,0.70621,0.5426,0.95303,0.03432,3.3067e-05,3.3067e-05,3.3067e-05
147,73.4355,0.8404,0.6049,1.24748,0.04559,0.95838,0.76703,0.80588,0.65282,0.70667,0.54268,0.95239,0.03431,2.79916e-05,2.79916e-05,2.79916e-05
148,73.8466,0.83376,0.60227,1.20826,0.03999,0.92426,0.78227,0.80197,0.64854,0.70829,0.54196,0.95153,0.03457,2.29162e-05,2.29162e-05,2.29162e-05
149,74.2288,0.80723,0.58588,1.21583,0.04419,0.92556,0.78265,0.80134,0.64746,0.70871,0.54256,0.95165,0.03467,1.78408e-05,1.78408e-05,1.78408e-05
150,74.6263,0.82604,0.5922,1.15088,0.05168,0.92326,0.78238,0.79616,0.64313,0.70969,0.544,0.95169,0.03496,1.27654e-05,1.27654e-05,1.27654e-05
